Crop,Storage_Type,Max_Shelf_Life_Days,Optimal_Temp_C,Optimal_Humidity_%
Chilli,Dry Storage,52,20.3,67.0
Wheat,Dry Storage,28,3.7,68.7
Pulses,Dry Storage,148,14.0,92.0
Grapes,Dry Storage,25,16.3,54.3
Wheat,Cold Storage,55,5.8,90.6
Potato,Ambient,14,23.5,40.8
Wheat,Cold Storage,75,24.8,91.3
Pulses,Ambient,147,22.1,40.9
Wheat,Ambient,8,24.4,51.3
Chilli,Ambient,83,24.1,50.3
Onion,Dry Storage,146,14.1,72.4
Apple,Dry Storage,150,9.8,55.2
Cotton,Cold Storage,55,18.7,78.2
Cotton,Cold Storage,153,24.0,79.4
Potato,Ambient,104,13.5,81.6
Onion,Ambient,38,16.6,93.2
Groundnut,Ambient,135,2.8,69.2
Cotton,Ambient,154,6.0,92.5
Onion,Dry Storage,144,21.2,81.1
Potato,Ambient,119,3.1,87.8
Apple,Ambient,178,6.4,73.5
Chilli,Ambient,15,3.2,83.8
Sugarcane,Dry Storage,81,3.8,62.2
Cotton,Dry Storage,14,19.0,68.9
Chilli,Cold Storage,31,14.5,90.2
Groundnut,Cold Storage,98,23.2,49.0
Pulses,Ambient,115,4.9,85.5
Tomato,Ambient,133,11.6,86.9
Tomato,Ambient,106,18.0,47.7
Sugarcane,Cold Storage,115,10.4,55.8
Chilli,Cold Storage,153,14.8,73.7
Apple,Ambient,19,22.8,60.1
Apple,Cold Storage,75,9.2,47.2
Tomato,Dry Storage,174,12.9,49.3
Wheat,Ambient,103,13.6,55.6
Banana,Cold Storage,91,13.4,48.3
Sugarcane,Ambient,69,11.1,87.0
Grapes,Dry Storage,97,20.8,52.9
Wheat,Cold Storage,74,17.5,51.3
Groundnut,Dry Storage,34,5.9,54.0
Potato,Dry Storage,79,16.4,50.8
Pulses,Cold Storage,81,22.3,58.0
Chilli,Ambient,113,19.3,57.2
Cotton,Cold Storage,135,13.9,76.9
Groundnut,Cold Storage,90,12.0,56.4
Mango,Cold Storage,161,10.3,94.6
Rice,Dry Storage,83,19.6,84.4
Groundnut,Ambient,125,3.3,53.9
Mango,Cold Storage,87,21.8,45.5
Sugarcane,Cold Storage,167,20.1,67.2
Rice,Dry Storage,154,5.9,77.3
Maize,Ambient,147,10.5,60.7
Apple,Ambient,97,9.7,71.3
Potato,Ambient,147,16.5,62.2
Banana,Cold Storage,41,13.6,76.0
Chilli,Cold Storage,75,21.0,52.6
Sugarcane,Cold Storage,153,24.3,78.3
Apple,Ambient,47,22.1,40.8
Tomato,Cold Storage,178,5.2,79.3
Onion,Dry Storage,90,11.2,87.7
Maize,Ambient,23,7.4,47.0
Maize,Dry Storage,119,19.0,87.3
Onion,Dry Storage,110,21.2,46.7
Chilli,Ambient,51,18.1,53.4
Pulses,Dry Storage,132,23.2,86.5
Rice,Dry Storage,32,11.4,90.0
Maize,Ambient,23,9.5,72.6
Pulses,Ambient,136,15.5,74.4
Maize,Dry Storage,16,8.7,68.2
Pulses,Dry Storage,77,21.3,86.2
Chilli,Cold Storage,13,14.9,49.9
Apple,Cold Storage,6,21.2,86.3
Groundnut,Cold Storage,143,24.6,74.8
Chilli,Ambient,156,22.3,92.9
Rice,Cold Storage,80,10.0,81.7
Onion,Ambient,56,17.4,63.5
Groundnut,Dry Storage,129,11.4,61.0
Onion,Ambient,166,12.9,59.3
Wheat,Ambient,124,9.2,47.3
Tomato,Cold Storage,109,13.0,71.6
Onion,Ambient,166,5.6,89.1
Rice,Ambient,174,19.6,48.7
Rice,Dry Storage,124,11.5,69.7
Cotton,Cold Storage,151,15.7,79.2
Chilli,Dry Storage,133,9.4,70.3
Grapes,Cold Storage,127,24.0,80.9
Grapes,Ambient,148,23.4,83.8
Chilli,Cold Storage,147,13.5,70.6
Pulses,Dry Storage,16,11.2,63.1
Sugarcane,Dry Storage,81,18.0,72.1
Chilli,Dry Storage,122,5.4,49.9
Groundnut,Ambient,147,16.7,76.3
Apple,Dry Storage,22,6.6,77.0
Sugarcane,Dry Storage,115,15.6,41.4
Sugarcane,Dry Storage,105,7.5,84.7
Potato,Dry Storage,109,6.8,61.9
Chilli,Cold Storage,156,5.1,69.5
Maize,Dry Storage,141,2.1,81.6
Potato,Cold Storage,37,8.3,83.6
Groundnut,Cold Storage,159,12.4,88.5
Onion,Cold Storage,31,6.1,92.4
Mango,Cold Storage,139,13.6,44.1
Potato,Dry Storage,54,15.8,67.7
Grapes,Dry Storage,104,24.5,75.7
Sugarcane,Ambient,145,15.3,75.9
Grapes,Ambient,10,13.9,66.3
Onion,Dry Storage,33,15.0,86.4
Rice,Ambient,80,24.5,59.9
Wheat,Ambient,130,12.5,82.4
Maize,Cold Storage,84,24.9,93.9
Cotton,Dry Storage,109,8.0,72.6
Maize,Cold Storage,50,21.7,87.7
Chilli,Dry Storage,50,20.1,60.2
Maize,Cold Storage,151,5.5,61.3
Rice,Dry Storage,93,18.8,69.4
Rice,Ambient,134,3.3,58.7
Maize,Dry Storage,144,9.3,80.7
Cotton,Ambient,172,21.9,54.1
Grapes,Ambient,167,7.3,70.3
Groundnut,Ambient,123,13.1,68.2
Sugarcane,Cold Storage,145,4.2,41.4
Rice,Dry Storage,169,9.8,56.2
Apple,Cold Storage,59,2.1,91.5
Groundnut,Ambient,133,24.3,82.1
Rice,Cold Storage,102,12.0,51.1
Mango,Ambient,34,5.8,57.5
Wheat,Ambient,82,4.6,84.7
Onion,Dry Storage,147,20.7,83.9
Tomato,Cold Storage,100,12.5,48.8
Rice,Dry Storage,83,11.8,74.3
Groundnut,Ambient,34,10.5,87.7
Maize,Dry Storage,33,18.6,44.4
Chilli,Dry Storage,15,18.4,59.1
Wheat,Cold Storage,5,11.3,87.0
Chilli,Dry Storage,124,8.3,41.3
Groundnut,Cold Storage,39,7.1,64.0
Banana,Ambient,137,10.3,81.4
Tomato,Dry Storage,35,12.8,77.0
Rice,Dry Storage,21,9.6,93.8
Groundnut,Ambient,111,12.8,42.2
Pulses,Dry Storage,126,24.2,42.7
Apple,Ambient,55,10.3,70.0
Potato,Ambient,98,20.4,57.5
Tomato,Ambient,162,13.7,49.6
Apple,Cold Storage,144,22.9,66.3
Banana,Cold Storage,10,12.4,59.3
Tomato,Ambient,81,24.2,74.5
Rice,Cold Storage,45,21.7,84.2
Tomato,Ambient,31,13.4,89.8
Maize,Ambient,22,22.2,54.1
Cotton,Cold Storage,35,5.7,59.4
Grapes,Ambient,178,12.0,58.4
Maize,Cold Storage,12,7.0,78.5
Potato,Cold Storage,168,20.5,60.9
Pulses,Ambient,60,18.2,42.5
Groundnut,Ambient,95,8.6,72.8
Chilli,Cold Storage,163,7.1,66.6
Banana,Dry Storage,23,14.7,43.5
Apple,Cold Storage,128,5.4,52.9
Pulses,Ambient,148,6.3,84.2
Potato,Ambient,136,7.7,54.9
Apple,Ambient,41,11.2,60.7
Tomato,Ambient,23,18.1,59.7
Apple,Dry Storage,17,15.2,59.0
Pulses,Ambient,173,20.1,41.3
Apple,Ambient,11,16.0,44.1
Sugarcane,Dry Storage,110,24.1,82.6
Mango,Cold Storage,134,5.8,53.9
Apple,Cold Storage,134,8.5,91.7
Apple,Dry Storage,136,3.0,79.6
Potato,Dry Storage,115,18.0,91.1
Pulses,Cold Storage,47,5.0,51.8
Groundnut,Ambient,63,6.8,44.5
Grapes,Ambient,13,24.2,71.5
Groundnut,Cold Storage,127,6.8,73.1
Grapes,Cold Storage,105,2.8,71.4
Grapes,Ambient,98,20.9,46.8
Banana,Cold Storage,27,23.4,45.0
Mango,Dry Storage,109,9.9,81.1
Sugarcane,Dry Storage,166,16.7,44.0
Wheat,Cold Storage,46,17.2,61.7
Cotton,Cold Storage,164,18.5,73.0
Chilli,Ambient,146,10.0,51.2
Tomato,Ambient,138,12.9,70.0
Sugarcane,Ambient,60,20.4,54.9
Onion,Ambient,93,3.2,64.4
Wheat,Dry Storage,31,19.0,51.0
Onion,Dry Storage,37,5.9,68.3
Onion,Dry Storage,7,15.8,92.1
Tomato,Cold Storage,173,6.4,92.9
Pulses,Dry Storage,53,21.2,90.4
Rice,Ambient,26,18.6,84.0
Potato,Dry Storage,43,10.4,60.1
Banana,Ambient,91,12.4,69.1
Mango,Ambient,57,7.5,80.1
Pulses,Ambient,6,9.2,45.9
Sugarcane,Dry Storage,163,6.8,72.8
Maize,Ambient,81,12.8,44.0
Mango,Ambient,106,7.3,63.9
Apple,Ambient,67,8.1,83.2
Mango,Dry Storage,157,21.2,63.6
Chilli,Ambient,41,3.2,45.4
Mango,Cold Storage,52,5.2,47.1
Rice,Cold Storage,86,21.4,86.3
Chilli,Dry Storage,88,6.8,52.7
Mango,Dry Storage,69,10.8,68.0
Chilli,Dry Storage,69,16.9,75.3
Groundnut,Cold Storage,62,3.9,84.2
Pulses,Cold Storage,113,11.1,89.1
Grapes,Cold Storage,7,22.5,71.1
Potato,Ambient,172,19.9,82.8
Maize,Dry Storage,120,13.6,57.2
Wheat,Ambient,15,20.7,79.0
Groundnut,Ambient,85,23.2,88.4
Mango,Dry Storage,6,16.6,60.5
Chilli,Ambient,127,7.8,60.4
Groundnut,Ambient,17,5.6,74.9
Chilli,Ambient,38,17.2,58.9
Apple,Ambient,22,20.1,62.1
Onion,Cold Storage,47,9.1,88.3
Apple,Ambient,19,12.6,44.9
Maize,Ambient,84,13.1,66.5
Pulses,Dry Storage,97,13.7,43.0
Sugarcane,Cold Storage,98,17.9,94.9
Tomato,Ambient,95,19.9,82.2
Chilli,Ambient,56,5.0,71.2
Mango,Ambient,171,16.9,46.9
Banana,Dry Storage,95,13.0,51.1
Rice,Dry Storage,146,2.4,90.9
Onion,Dry Storage,18,14.4,47.2
Banana,Dry Storage,79,4.9,88.9
Groundnut,Ambient,63,9.8,63.9
Wheat,Cold Storage,46,23.0,91.8
Pulses,Dry Storage,84,6.7,93.3
Maize,Cold Storage,106,10.8,68.0
Wheat,Cold Storage,158,5.8,78.2
Chilli,Ambient,122,13.2,57.9
Cotton,Dry Storage,144,7.5,51.3
Mango,Cold Storage,71,20.3,80.1
Cotton,Ambient,169,17.8,57.3
Groundnut,Ambient,91,22.1,55.5
Maize,Cold Storage,131,8.1,72.1
Grapes,Ambient,123,15.1,86.0
Mango,Cold Storage,33,19.8,88.0
Chilli,Cold Storage,110,24.1,78.3
Grapes,Ambient,114,14.2,48.4
Pulses,Dry Storage,14,13.3,61.2
Grapes,Ambient,142,16.4,81.7
Rice,Ambient,24,3.7,91.6
Pulses,Cold Storage,152,6.1,53.0
Banana,Cold Storage,141,16.5,50.1
Grapes,Cold Storage,169,6.5,57.8
Apple,Cold Storage,156,6.4,43.0
Groundnut,Dry Storage,92,15.7,93.5
Potato,Ambient,55,19.8,78.7
Rice,Cold Storage,158,6.3,65.2
Sugarcane,Ambient,128,20.3,82.6
Maize,Dry Storage,146,10.8,54.1
Cotton,Cold Storage,176,19.5,77.7
Maize,Cold Storage,46,23.7,84.5
Chilli,Cold Storage,85,24.7,79.9
Banana,Cold Storage,82,2.7,73.8
Tomato,Ambient,138,12.5,59.9
Potato,Dry Storage,58,18.6,58.2
Potato,Cold Storage,52,20.7,86.1
Apple,Cold Storage,93,8.2,83.3
Groundnut,Cold Storage,23,24.6,49.2
Cotton,Dry Storage,142,7.9,64.5
Sugarcane,Ambient,59,16.1,81.6
Grapes,Dry Storage,36,13.3,76.6
Pulses,Dry Storage,77,12.0,80.2
Tomato,Ambient,42,9.3,55.1
Rice,Cold Storage,5,22.2,82.8
Onion,Dry Storage,37,23.0,61.9
Apple,Dry Storage,155,6.1,74.2
Maize,Dry Storage,146,6.8,40.1
Groundnut,Cold Storage,46,17.8,83.4
Mango,Dry Storage,19,12.3,77.8
Wheat,Dry Storage,15,11.7,40.7
Apple,Dry Storage,63,18.8,57.0
Groundnut,Ambient,34,22.3,87.7
Tomato,Cold Storage,85,17.3,70.5
Onion,Cold Storage,123,5.5,67.3
Groundnut,Dry Storage,113,14.0,47.9
Potato,Dry Storage,86,13.9,76.3
Apple,Dry Storage,85,6.3,84.6
Maize,Ambient,144,23.0,63.5
Cotton,Cold Storage,109,10.5,58.1
Chilli,Dry Storage,64,21.9,49.5
Wheat,Dry Storage,137,23.8,49.4
Rice,Cold Storage,81,6.7,89.1
Wheat,Dry Storage,99,19.3,84.2
Grapes,Ambient,48,14.0,82.9
Rice,Ambient,14,4.6,64.9
Potato,Ambient,139,18.7,51.9
Rice,Dry Storage,90,19.4,49.9
Tomato,Ambient,100,2.8,44.4
Banana,Dry Storage,108,20.0,93.7
Rice,Cold Storage,178,17.3,50.2
Chilli,Ambient,15,4.1,60.5
Maize,Ambient,68,21.7,93.5
Rice,Dry Storage,65,12.0,69.5
Wheat,Dry Storage,103,14.6,42.6
Wheat,Ambient,110,14.3,90.8
Potato,Cold Storage,55,9.7,92.8
Rice,Ambient,70,5.0,49.5
Sugarcane,Cold Storage,105,6.5,65.2
Apple,Dry Storage,44,12.9,69.9
Cotton,Ambient,41,9.8,50.8
Wheat,Dry Storage,98,7.9,41.4
Banana,Cold Storage,64,3.6,85.2
Wheat,Dry Storage,134,16.7,81.7
Grapes,Ambient,35,18.7,40.0
Onion,Ambient,175,7.2,47.3
Tomato,Cold Storage,152,3.5,88.2
Grapes,Ambient,130,2.4,54.5
Banana,Ambient,179,23.1,83.2
Groundnut,Cold Storage,178,8.0,82.9
Wheat,Cold Storage,99,16.4,47.4
Rice,Cold Storage,172,13.3,74.5
Grapes,Ambient,50,17.7,69.1
Pulses,Dry Storage,97,11.0,58.2
Potato,Ambient,41,15.9,41.0
Banana,Cold Storage,128,12.7,73.0
Grapes,Dry Storage,148,7.2,76.2
Pulses,Cold Storage,34,21.3,66.9
Groundnut,Dry Storage,72,14.7,64.9
Groundnut,Cold Storage,127,11.7,69.7
Banana,Dry Storage,14,24.8,44.9
Rice,Cold Storage,81,8.4,85.6
Grapes,Cold Storage,112,21.8,90.2
Wheat,Cold Storage,38,22.1,69.5
Pulses,Dry Storage,95,3.8,69.4
Sugarcane,Cold Storage,31,20.7,81.3
Sugarcane,Dry Storage,128,7.4,72.6
Onion,Dry Storage,51,17.4,46.2
Cotton,Dry Storage,35,10.4,87.8
Pulses,Ambient,82,14.8,69.4
Onion,Dry Storage,51,12.9,51.6
Onion,Ambient,82,5.2,91.6
Potato,Cold Storage,104,24.9,45.8
Grapes,Ambient,59,8.5,69.1
Mango,Dry Storage,52,18.7,92.6
Apple,Cold Storage,153,7.1,43.6
Maize,Dry Storage,139,13.4,51.1
Pulses,Ambient,100,14.4,64.0
Mango,Cold Storage,20,21.0,49.2
Pulses,Dry Storage,166,13.6,90.7
Chilli,Dry Storage,73,22.2,45.1
Tomato,Cold Storage,51,22.1,55.5
Cotton,Ambient,142,12.9,59.1
Groundnut,Dry Storage,146,14.2,75.8
Cotton,Dry Storage,77,7.4,77.4
Apple,Dry Storage,20,10.5,93.9
Apple,Ambient,119,3.4,56.7
Grapes,Dry Storage,149,11.0,78.5
Mango,Cold Storage,73,9.8,80.0
Pulses,Dry Storage,5,18.1,89.4
Onion,Cold Storage,117,10.6,43.8
Sugarcane,Cold Storage,162,16.4,81.6
Sugarcane,Dry Storage,123,2.2,81.8
Sugarcane,Cold Storage,23,11.1,41.8
Rice,Dry Storage,86,3.4,59.3
Onion,Cold Storage,148,20.2,92.9
Mango,Cold Storage,79,11.0,91.8
Rice,Cold Storage,51,22.4,56.6
Maize,Cold Storage,53,5.8,61.4
Chilli,Dry Storage,124,13.7,94.4
Apple,Ambient,113,21.3,65.3
Onion,Dry Storage,145,20.9,76.8
Onion,Cold Storage,16,7.5,55.4
Wheat,Ambient,137,2.6,74.9
Rice,Ambient,61,11.0,68.0
Grapes,Ambient,168,7.4,90.3
Banana,Dry Storage,177,5.3,41.5
Wheat,Cold Storage,50,8.6,78.7
Potato,Dry Storage,19,12.8,49.0
Tomato,Dry Storage,159,19.5,80.7
Banana,Ambient,153,12.7,81.5
Grapes,Ambient,169,20.2,48.5
Banana,Dry Storage,177,12.3,83.1
Chilli,Cold Storage,88,13.8,60.5
Maize,Dry Storage,114,8.2,53.9
Potato,Dry Storage,77,12.3,77.5
Maize,Cold Storage,130,16.2,69.9
Rice,Ambient,161,18.9,51.7
Sugarcane,Dry Storage,108,7.7,42.6
Onion,Dry Storage,113,5.9,55.1
Groundnut,Dry Storage,94,23.9,46.6
Sugarcane,Cold Storage,114,18.2,42.0
Apple,Ambient,85,14.1,82.8
Pulses,Ambient,147,4.4,86.4
Apple,Cold Storage,87,13.5,46.5
Sugarcane,Dry Storage,28,13.5,40.7
Grapes,Ambient,109,16.5,61.3
Mango,Ambient,47,17.5,64.4
Pulses,Dry Storage,124,17.6,88.6
Chilli,Cold Storage,121,14.3,71.1
Wheat,Cold Storage,136,23.5,66.8
Pulses,Dry Storage,61,13.9,58.1
Maize,Dry Storage,20,17.3,61.8
Mango,Cold Storage,60,2.4,64.0
Rice,Dry Storage,108,3.0,46.6
Potato,Cold Storage,16,14.9,56.3
Grapes,Cold Storage,135,22.9,56.5
Wheat,Dry Storage,161,15.9,84.8
Groundnut,Dry Storage,29,11.9,71.7
Potato,Cold Storage,158,13.2,46.9
Apple,Cold Storage,140,24.5,71.9
Groundnut,Cold Storage,59,15.1,62.2
Rice,Cold Storage,12,6.7,71.1
Onion,Ambient,134,22.2,82.7
Maize,Dry Storage,126,18.2,81.2
Groundnut,Dry Storage,138,18.2,72.7
Grapes,Dry Storage,108,7.4,50.0
Banana,Cold Storage,117,17.7,90.1
Chilli,Cold Storage,78,24.2,86.8
Grapes,Cold Storage,172,16.7,50.6
Chilli,Ambient,175,9.6,54.6
Apple,Ambient,86,13.3,74.6
Chilli,Ambient,96,5.7,57.1
Potato,Dry Storage,159,12.6,53.2
Grapes,Cold Storage,167,10.2,57.7
Mango,Ambient,148,14.1,71.7
Maize,Cold Storage,69,3.7,93.9
Rice,Ambient,30,4.8,78.0
Tomato,Cold Storage,113,10.6,87.9
Sugarcane,Ambient,101,4.0,65.7
Mango,Dry Storage,96,14.6,42.4
Potato,Dry Storage,70,10.6,61.7
Wheat,Cold Storage,31,14.7,46.4
Banana,Cold Storage,122,24.2,50.7
Grapes,Cold Storage,163,18.4,79.9
Banana,Ambient,151,5.7,47.7
Wheat,Cold Storage,36,9.6,53.4
Groundnut,Cold Storage,104,4.3,58.5
Chilli,Dry Storage,116,10.1,83.1
Grapes,Cold Storage,43,12.9,80.9
Onion,Ambient,148,23.3,72.4
Onion,Ambient,102,19.9,84.0
Pulses,Dry Storage,94,16.0,55.6
Pulses,Dry Storage,70,18.8,56.0
Groundnut,Dry Storage,94,16.1,49.0
Pulses,Cold Storage,41,8.0,62.6
Mango,Dry Storage,102,11.2,78.7
Maize,Dry Storage,19,7.6,85.0
Maize,Cold Storage,113,9.6,92.4
Sugarcane,Ambient,136,22.8,58.2
Pulses,Dry Storage,167,8.1,57.9
Tomato,Cold Storage,103,22.9,42.0
Mango,Dry Storage,163,6.5,58.9
Potato,Cold Storage,50,5.0,85.9
Grapes,Dry Storage,142,8.2,51.4
Tomato,Dry Storage,50,15.6,55.4
Cotton,Dry Storage,66,16.6,92.8
Cotton,Cold Storage,87,19.2,66.5
Potato,Ambient,84,12.6,82.6
Cotton,Cold Storage,32,14.0,43.1
Potato,Cold Storage,166,22.2,54.1
Maize,Ambient,103,18.9,87.3
Tomato,Cold Storage,64,23.6,42.6
Cotton,Dry Storage,94,15.2,64.8
Potato,Dry Storage,159,5.8,56.0
Pulses,Cold Storage,170,7.4,74.4
Rice,Dry Storage,115,22.9,74.1
Mango,Ambient,85,8.1,61.0
Maize,Cold Storage,15,4.6,92.0
Mango,Ambient,62,4.6,70.9
Pulses,Cold Storage,170,16.9,66.7
Mango,Cold Storage,167,9.0,91.0
Mango,Cold Storage,146,8.2,47.3
Chilli,Dry Storage,67,13.1,49.4
Potato,Dry Storage,103,5.1,82.5
Cotton,Ambient,121,14.1,57.4
Onion,Cold Storage,153,14.0,45.9
Wheat,Ambient,173,10.6,75.6
Maize,Dry Storage,66,8.4,86.0
Apple,Ambient,11,9.2,54.9
Onion,Dry Storage,156,19.7,94.7
Groundnut,Cold Storage,168,6.5,93.6
Sugarcane,Cold Storage,79,12.6,66.2
Pulses,Cold Storage,178,15.7,52.7
Rice,Dry Storage,112,9.4,40.1
Apple,Ambient,77,3.1,60.7
Pulses,Ambient,124,19.2,82.7
Maize,Cold Storage,95,22.2,58.9
Rice,Ambient,71,2.9,59.6
Sugarcane,Cold Storage,91,14.4,94.6
Rice,Cold Storage,47,9.2,42.8
Maize,Dry Storage,59,9.3,86.2
Onion,Cold Storage,32,21.5,75.6
Onion,Ambient,53,16.3,78.1
Cotton,Cold Storage,132,17.0,45.9
Banana,Ambient,91,3.3,81.2
Groundnut,Ambient,62,19.9,43.1
Onion,Ambient,56,8.3,76.4
Cotton,Ambient,35,5.8,50.3
Onion,Cold Storage,68,13.7,93.7
Tomato,Dry Storage,19,3.1,87.8
Sugarcane,Ambient,154,16.2,60.9
Mango,Ambient,132,18.7,61.3
Pulses,Ambient,53,3.3,92.8
Maize,Ambient,40,20.8,79.0
Groundnut,Cold Storage,59,7.3,71.0
Rice,Cold Storage,15,14.9,63.2
Mango,Cold Storage,119,12.0,68.0
Tomato,Cold Storage,7,24.8,82.0
Potato,Cold Storage,118,24.8,49.9
Potato,Dry Storage,153,22.0,51.6
Pulses,Dry Storage,47,4.9,56.0
Tomato,Dry Storage,102,2.6,66.2
