Crop,Season,Max_Shelf_Life_Days,Optimal_Temp_C,Optimal_Humidity_%
grapes,Kharif,8,20.0,60.7
tomato,Zaid,5,13.3,75.7
brinjal,Zaid,15,12.6,64.6
rice,Kharif,206,20.4,71.4
wheat,Kharif,255,12.5,75.8
maize,Zaid,150,20.7,88.1
orange,Zaid,62,8.2,82.3
pulses,Zaid,227,21.3,71.6
cabbage,Rabi,23,15.6,88.7
wheat,Rabi,210,14.9,81.0
soybean,Zaid,144,19.2,60.7
soybean,Rabi,111,16.0,75.0
orange,Rabi,45,10.3,58.2
banana,Kharif,7,22.5,59.9
soybean,Rabi,86,15.0,79.6
soybean,Rabi,82,23.4,63.0
groundnut,Kharif,164,12.6,59.9
rice,Kharif,199,10.9,71.0
groundnut,Kharif,176,21.8,57.5
rice,Zaid,128,13.0,84.6
rice,Kharif,224,15.5,71.1
cauliflower,Kharif,15,12.4,86.4
onion,Zaid,148,19.1,61.0
mango,Zaid,10,17.4,85.0
orange,Zaid,51,20.1,71.6
cotton,Kharif,422,9.0,61.2
pulses,Rabi,278,18.7,85.0
onion,Zaid,121,9.7,68.2
wheat,Kharif,178,9.0,76.4
orange,Kharif,66,11.2,64.2
chilli,Zaid,27,10.8,60.3
chilli,Rabi,37,15.4,72.7
onion,Rabi,150,14.8,81.2
mango,Zaid,22,18.8,63.3
rice,Rabi,267,22.8,83.7
banana,Kharif,7,19.2,81.7
onion,Rabi,104,18.3,66.3
maize,Kharif,181,20.7,79.1
wheat,Rabi,290,8.9,71.9
tomato,Rabi,4,24.0,83.0
banana,Zaid,7,8.5,71.6
cabbage,Rabi,22,10.9,70.4
tomato,Kharif,8,22.0,85.9
groundnut,Rabi,207,10.4,85.4
soybean,Rabi,138,13.6,71.8
groundnut,Rabi,116,15.5,59.3
potato,Kharif,78,10.5,63.7
cauliflower,Rabi,11,17.0,87.8
pulses,Kharif,246,23.8,68.4
cauliflower,Kharif,8,12.1,60.4
brinjal,Zaid,12,10.3,55.4
pulses,Rabi,330,16.5,66.7
pulses,Rabi,175,18.2,62.2
cotton,Kharif,520,14.0,89.0
cauliflower,Kharif,10,18.8,89.4
cotton,Kharif,326,13.2,81.2
brinjal,Zaid,19,21.2,61.9
soybean,Zaid,82,16.4,72.8
orange,Zaid,29,19.8,71.8
soybean,Zaid,123,15.2,73.8
onion,Zaid,124,17.8,78.0
