timestamp,warehouse_name,temperature_c,humidity_pct
2024-01-01 00:00,Delhi Warehouse,12.8,43.3
2024-01-01 00:00,Chandigarh Warehouse,13.2,58.0
2024-01-01 00:00,Bengaluru Warehouse,15.0,70.3
2024-01-01 00:00,Hyderabad Warehouse,17.2,58.7
2024-01-01 00:00,Kolkata Warehouse,21.2,92.8
2024-01-01 00:00,Bhubaneswar Warehouse,23.4,86.5
2024-01-01 00:00,Mumbai Warehouse,22.7,95.6
2024-01-01 00:00,Ahmedabad Warehouse,17.3,40.6
2024-01-01 00:00,Nagpur Central Warehouse,17.0,35.3
2024-01-01 01:00,Delhi Warehouse,11.4,45.2
2024-01-01 01:00,Chandigarh Warehouse,11.1,57.2
2024-01-01 01:00,Bengaluru Warehouse,13.9,69.2
2024-01-01 01:00,Hyderabad Warehouse,15.5,60.4
2024-01-01 01:00,Kolkata Warehouse,20.6,91.4
2024-01-01 01:00,Bhubaneswar Warehouse,21.6,82.0
2024-01-01 01:00,Mumbai Warehouse,22.7,97.5
2024-01-01 01:00,Ahmedabad Warehouse,16.6,43.4
2024-01-01 01:00,Nagpur Central Warehouse,16.9,35.9
2024-01-01 02:00,Delhi Warehouse,10.9,47.9
2024-01-01 02:00,Chandigarh Warehouse,11.0,56.9
2024-01-01 02:00,Bengaluru Warehouse,13.9,68.5
2024-01-01 02:00,Hyderabad Warehouse,16.5,65.2
2024-01-01 02:00,Kolkata Warehouse,20.0,93.5
2024-01-01 02:00,Bhubaneswar Warehouse,22.6,85.7
2024-01-01 02:00,Mumbai Warehouse,22.4,94.1
2024-01-01 02:00,Ahmedabad Warehouse,14.9,40.8
2024-01-01 02:00,Nagpur Central Warehouse,15.1,40.5
2024-01-01 03:00,Delhi Warehouse,12.6,45.2
2024-01-01 03:00,Chandigarh Warehouse,12.8,58.5
2024-01-01 03:00,Bengaluru Warehouse,14.9,71.1
2024-01-01 03:00,Hyderabad Warehouse,15.8,63.4
2024-01-01 03:00,Kolkata Warehouse,21.3,90.6
2024-01-01 03:00,Bhubaneswar Warehouse,22.5,86.5
2024-01-01 03:00,Mumbai Warehouse,22.8,95.0
2024-01-01 03:00,Ahmedabad Warehouse,16.2,42.6
2024-01-01 03:00,Nagpur Central Warehouse,16.0,38.6
2024-01-01 04:00,Delhi Warehouse,13.4,46.8
2024-01-01 04:00,Chandigarh Warehouse,13.2,52.2
2024-01-01 04:00,Bengaluru Warehouse,15.5,72.7
2024-01-01 04:00,Hyderabad Warehouse,17.7,60.9
2024-01-01 04:00,Kolkata Warehouse,21.2,91.5
2024-01-01 04:00,Bhubaneswar Warehouse,23.0,81.0
2024-01-01 04:00,Mumbai Warehouse,23.9,94.2
2024-01-01 04:00,Ahmedabad Warehouse,18.4,42.0
2024-01-01 04:00,Nagpur Central Warehouse,16.7,39.7
2024-01-01 05:00,Delhi Warehouse,17.6,43.1
2024-01-01 05:00,Chandigarh Warehouse,15.5,52.6
2024-01-01 05:00,Bengaluru Warehouse,16.4,69.4
2024-01-01 05:00,Hyderabad Warehouse,18.7,59.0
2024-01-01 05:00,Kolkata Warehouse,22.1,88.5
2024-01-01 05:00,Bhubaneswar Warehouse,24.4,82.6
2024-01-01 05:00,Mumbai Warehouse,23.6,92.7
2024-01-01 05:00,Ahmedabad Warehouse,20.1,36.9
2024-01-01 05:00,Nagpur Central Warehouse,18.3,34.3
2024-01-01 06:00,Delhi Warehouse,18.8,39.4
2024-01-01 06:00,Chandigarh Warehouse,17.2,46.7
2024-01-01 06:00,Bengaluru Warehouse,18.4,66.0
2024-01-01 06:00,Hyderabad Warehouse,20.4,58.5
2024-01-01 06:00,Kolkata Warehouse,23.5,86.6
2024-01-01 06:00,Bhubaneswar Warehouse,25.3,79.0
2024-01-01 06:00,Mumbai Warehouse,25.1,95.7
2024-01-01 06:00,Ahmedabad Warehouse,23.4,34.5
2024-01-01 06:00,Nagpur Central Warehouse,23.8,31.6
2024-01-01 07:00,Delhi Warehouse,21.4,39.3
2024-01-01 07:00,Chandigarh Warehouse,20.6,45.6
2024-01-01 07:00,Bengaluru Warehouse,17.8,62.0
2024-01-01 07:00,Hyderabad Warehouse,22.1,53.8
2024-01-01 07:00,Kolkata Warehouse,24.0,83.8
2024-01-01 07:00,Bhubaneswar Warehouse,24.9,76.9
2024-01-01 07:00,Mumbai Warehouse,27.2,85.3
2024-01-01 07:00,Ahmedabad Warehouse,26.1,30.5
2024-01-01 07:00,Nagpur Central Warehouse,24.5,29.5
2024-01-01 08:00,Delhi Warehouse,26.3,37.0
2024-01-01 08:00,Chandigarh Warehouse,22.7,43.4
2024-01-01 08:00,Bengaluru Warehouse,20.2,56.5
2024-01-01 08:00,Hyderabad Warehouse,25.5,49.2
2024-01-01 08:00,Kolkata Warehouse,26.9,78.6
2024-01-01 08:00,Bhubaneswar Warehouse,28.3,73.3
2024-01-01 08:00,Mumbai Warehouse,27.6,86.2
2024-01-01 08:00,Ahmedabad Warehouse,29.0,32.5
2024-01-01 08:00,Nagpur Central Warehouse,29.1,29.2
2024-01-01 09:00,Delhi Warehouse,30.6,36.7
2024-01-01 09:00,Chandigarh Warehouse,27.1,42.4
2024-01-01 09:00,Bengaluru Warehouse,22.4,54.6
2024-01-01 09:00,Hyderabad Warehouse,27.7,48.7
2024-01-01 09:00,Kolkata Warehouse,29.9,77.6
2024-01-01 09:00,Bhubaneswar Warehouse,28.7,73.4
2024-01-01 09:00,Mumbai Warehouse,29.2,81.2
2024-01-01 09:00,Ahmedabad Warehouse,32.2,25.5
2024-01-01 09:00,Nagpur Central Warehouse,33.5,21.6
2024-01-01 10:00,Delhi Warehouse,32.3,27.6
2024-01-01 10:00,Chandigarh Warehouse,28.3,42.0
2024-01-01 10:00,Bengaluru Warehouse,23.8,54.9
2024-01-01 10:00,Hyderabad Warehouse,29.9,45.6
2024-01-01 10:00,Kolkata Warehouse,30.8,72.7
2024-01-01 10:00,Bhubaneswar Warehouse,29.6,69.0
2024-01-01 10:00,Mumbai Warehouse,29.2,80.9
2024-01-01 10:00,Ahmedabad Warehouse,35.2,26.9
2024-01-01 10:00,Nagpur Central Warehouse,37.2,21.8
2024-01-01 11:00,Delhi Warehouse,35.4,28.4
2024-01-01 11:00,Chandigarh Warehouse,31.6,36.1
2024-01-01 11:00,Bengaluru Warehouse,26.1,49.5
2024-01-01 11:00,Hyderabad Warehouse,32.7,40.9
2024-01-01 11:00,Kolkata Warehouse,31.7,71.7
2024-01-01 11:00,Bhubaneswar Warehouse,32.5,66.8
2024-01-01 11:00,Mumbai Warehouse,29.9,76.0
2024-01-01 11:00,Ahmedabad Warehouse,39.1,24.1
2024-01-01 11:00,Nagpur Central Warehouse,42.0,17.3
2024-01-01 12:00,Delhi Warehouse,38.0,24.6
